,id,target
122,122,"Based on the excerpt from Baldassare Castiglione's Book of the Courtier, Castiglione would most likely support (D) The creation of private high schools for elite young men with many extracurricular activities. This is because Castiglione emphasizes the importance of a well-rounded education for the ideal courtier, including physical education, martial training, literacy in multiple languages, musical ability, and eloquent speaking skills. He also stresses the importance of loyalty and service to one's master, which aligns with the values of an elite education. The other options do not align as closely with the values and priorities outlined in the excerpt."
123,123,(C) empiricism
124,124,(D) Religious toleration should be given to all people of all religions.
125,125,(B) the failure of the revolutions of 1848
126,126,(C) the surrender of the western part of the Russian Empire to the German Empire
127,127,(D) Nationalism
128,128,"(C) An increased rate of inflation

The memoir describes how Cortés and his men acquired large amounts of gold during their expedition, which would have added a significant amount of wealth to the economy. An influx of new wealth can sometimes lead to inflation, as the increased demand for goods and services can cause prices to rise."
129,129,(D) By encouraging the use of French as the universal language
130,130,(A)
131,131,(D) Socioeconomic changes created divisions of labor that led to the development of self-conscious classes.
132,132,(C) The heavens are occupied by bodies revolving around each other rather than by God alone.
133,133,"(C) the need for perestroika was long in the making

Gorbachev states that Soviet society was ""ripe for change"" and had been ""yearning for it"" for some time, implying that the need for perestroika was not a sudden development but had been building for a while."
134,134,(A) A series of revolutions that gripped Europe in the same year
135,135,(A)
136,136,(C)
137,137,(C)
138,138,(B) Klemens Von Metternich
139,139,"(D) The Immigration and Nationality Act of 1965 is the answer. This act is an example of nativism as it marks a shift in immigration policy to favor western and northern European immigrants over those from eastern and southern Europe, reflecting the anti-immigrant sentiments of the time."
140,140,"(A) Corruption in government—especially as it related to big business—energized the public to demand increased popular control and reform of local, state, and national governments."
141,141,(B) The war-ravaged condition of Asia and Europe allowed the United States to emerge as one of the most prosperous nations on Earth.
142,142,(C) they were in conflict between those who favored gradual emancipation and those who favored immediate emancipation.
143,143,(C) America's expansion to the West Coast was inevitable and divinely sanctioned.
144,144,(B) all Protestants only
145,145,(A) Opposition to the administration's arms buildup
146,146,(B) Logan laments the loss of his family.
147,147,(C) The Apollo space program
148,148,(B) Carter's defeat in the next presidential election
149,149,(D) a recent conflict between federal agents and Lakota Indians
150,150,(D)
151,151,(C) a weak central government without the powers to address pressing issues.
152,152,(B) Enactment of laws regulating railroads.
153,153,(A) Imperialism
154,154,"(A)

In the passage, Coolidge is not directly reacting against the growing strength of radical politics in America following the Russian Revolution (B), Populist agitation in the West (C), or the governmental policies of the Progressive Era (D). Although he does mention the importance of economy and the protection of property rights, there is no clear connection to any specific policies of Warren G. Harding (A). However, Coolidge was a member of the Republican party and succeeded Harding as President, so it is possible that Coolidge's views on economy and taxation may have been influenced by Harding's policies."
155,155,(C) Woodrow Wilson's Fourteen Points
156,156,"(A)

The correct answer is (A): American desires for independence from Great Britain. Hamilton's defense of Zenger's freedom of the press was a significant milestone in the fight against tyranny and British control. While the trial did not explicitly cause the American Revolution, it fueled the desire for independence and self-governance among the American colonists."
157,157,(A) The Nineteenth Amendment.
158,158,(A) Progressivism of the early 1900s
159,159,"(C) ""Free Exercise Clause"" of the First Amendment."
160,160,"(A) Widespread prosperity in the 1920s

Calvin Coolidge's ideas expressed above were influenced by the economic conditions during his time, which included widespread prosperity and economic growth in the 1920s. The focus on protecting the rights of individuals, guarding against unnecessary taxation, and ensuring economic freedom reflects the political and economic climate of the era."
161,161,"(A) Conservation, trust-busting, consumer protection"
162,162,(A) Imperialism
163,163,(B) Bacon's Rebellion in colonial Virginia.
164,164,(A)
165,165,(D) Intervention in the affairs of Central American governments
166,166,(A)
167,167,(C) William M. Tweed
168,168,(D) levied taxes aimed at raising revenue rather than regulating trade
169,169,(A) the policy of containment.
170,170,(C) Progressive Liberals
171,171,(A) The care of the mentally ill is a state concern.
172,172,"(C) Lincoln favored the exclusion of slavery from any of the new territories.
(A) and (B) did not contradict Douglass's sentiments, and (D) was not enacted by Lincoln until 1865."
173,173,(D) Mutual coexistence
174,174,(D) Northern Republicans in the 1860s
175,175,"(D) Martin Luther King, Jr.'s ""I Have a Dream” speech"
176,176,(C) still an underdeveloped cultural backwater
177,177,(A) Washington's Farewell Address
178,178,(C) Containment
179,179,"(B) Early native civilizations in Mexico introduced Spanish explorers to cattle ranching and wheat cultivation.

The information provided in the text does not provide enough evidence to support any of the other answers."
180,180,(A)
181,181,(B) it was the first time the presidency shifted from one political party to another.
182,182,(A)
183,183,(B)
184,184,(D)
185,185,(C) The USA Patriot Act of 2001
186,186,(D) A landmark case concerning freedom of expression
187,187,(C)
188,188,"(C) The abolition movement.

The abolition movement, which sought to end slavery, made similar arguments about the interconnectedness and interrelatedness of all people, and the idea that injustice anywhere is a threat to justice everywhere. Susan B. Anthony was a prominent figure in the women's suffrage movement, not the abolition movement, but the movements for women's rights and the end of slavery were closely linked and often intertwined."
189,189,(A)
190,190,(C) Debates over federal power over the economy.
191,191,(A) Participants in the Seneca Falls Convention.
192,192,(C) Sacagawea
193,193,(A)
194,194,(B) The economic policy of mercantilism.
195,195,(D) New Dealers of the 1930s
196,196,(D)
197,197,(B) The weaknesses of the Articles of Confederation led James Madison to question their efficacy and prompted a formation of the Constitutional Congress in 1787.
198,198,(B) did not include a mechanism for their own amendment.
199,199,(B) it challenged traditional understandings of women and property embodied in the legal concept of femme covert.
200,200,"(D) He wanted to reward the colonies through his extension of ""salutary neglect."""
201,201,(D) an extension of aid to Greece and Turkey.
202,202,(C) U.S. involvement in Vietnam and the civil rights movement
203,203,(C) Southern influence upon the federal government to defend the institution of slavery
204,204,(B) Expanding territories under Spanish control
205,205,(D) Deregulation of railroads and utilities
206,206,(A)
207,207,(C) they were religious Separatists looking for a place to freely practice their faith.
208,208,(B) A proprietary colony in which the King entrusted government to a proprietor and his family
209,209,(C) persuade voters that Senator Long had a plan to combat the Great Depression.
210,210,"(C) No, because they were largely supporters of Theodore Roosevelt's ""New Nationalism.""

The Progressive Party of 1912, also known as the Bull Moose Party, was an extension of Theodore Roosevelt's presidential campaign after losing the Republican nomination to William Howard Taft. The Progressive Party was more closely associated with Roosevelt's ""New Nationalism"" ideas, which included stronger federal regulation and a focus on the general welfare. The Underwood-Simmons Tariff of 1913, which reduced average tariff rates, was not in line with the ""New Nationalism"" philosophy and was more closely associated with Woodrow Wilson and the Democratic Party. Therefore, the correct answer is (C) No, because they were largely supporters of Theodore Roosevelt's ""New Nationalism."""
211,211,(C) an expression of black nationalism.
212,212,(A) an outgrowth of the Second Great Awakening.
213,213,"(A) (B) (C) (D), the answer is (C) because the question is asking for the policy that altered Jackson's policy and none of the other options (A, B, or D) relate to Jackson's policy. The excerpt is from Benjamin Franklin's testimony in 1766, which is long before Jackson's time as president. Therefore, the answer must be (C) the Supreme Court decision in Plessy v. Ferguson, which occurred during Jackson's time and altered his policy of Indian removal."
214,214,(C) National Woman Suffrage Association.
215,215,(A) World War I
216,216,(C) Manifest Destiny
217,217,(D) Detroit autoworkers in the 1930s
218,218,(A) Aggression vs. pacifism
219,219,(B) Lincoln won the Election of 1864 due to Union successes during the Civil War.
220,220,(A) The rhetoric of the American Revolution raised awareness of social inequalities and inspired groups and individuals to call for greater political democracy.
221,221,(D) The framers of the Articles of Confederation made a mistake in allowing for too great a degree of democracy in the new republic.
222,222,"(A)

Geraldine Ferraro is most directly compared to Abigail Adams because both were groundbreaking figures in American politics who fought for the rights and opportunities of women. Abigail Adams, the wife of President John Adams, was a strong advocate for women's rights and education during her husband's time in office. Ferraro, on the other hand, was the first female vice presidential nominee of a major political party in the United States.

(B) Sandra Day O'Connor was the first female justice on the Supreme Court, but she was not a political figure in the same sense as Ferraro.

(C) Jane Addams was a prominent social activist and reformer, but she was not a political figure in the same sense as Ferraro.

(D) Rosa Parks was a civil rights activist, not a political figure in the same sense as Ferraro."
223,223,(A) Iraqi dictator Saddam Hussein's conquest of Kuwait
224,224,(B)
225,225,(B) The debate between separatism and integration when it came to the place of African Americans in American society.
226,226,(C) middle-class college students.
227,227,(A) States' Rights
228,228,(D)
229,229,"(A) is the correct answer. The excerpts provided suggest that anti-government sentiment was present in the 1990s, and the Waco incident and the heavy-handed approach of the government were on the mind of Timothy McVeigh, the Oklahoma City bomber. There is no mention of Attorney General Janet Reno launching an offensive against the Branch Davidian cult in 1993 or facing congressional criticism for her actions. Additionally, there is no mention of Representative John Conyers putting pressure on President Clinton regarding Attorney General Reno's resignation."
230,230,(D) that the Massachusetts legislature either grant the petitioners the right to vote or that it excuse them from paying taxes.
231,231,(D) Carnegie's ruthless business practices were causing him to lose touch with his working-class origins.
232,232,(A) James K. Polk
233,233,(D) the balanced budget mandate
234,234,(B) Evangelical Christianity.
235,235,(A)
236,236,(C) Powerful nations have a moral duty to govern less developed nations.
237,237,(C) The Halfway Covenant
238,238,(D)
239,239,"(D) a negotiated settlement between the tribes of the Southeast and the U.S. government, by which the tribes were allowed to remain on their lands for ten years."
240,240,(A)
241,241,"(None of the above) The sentiment expressed in the passage is about racism and discrimination against African Americans after the Civil War, which is not directly related to any of the provided options."
242,242,(C) Increased economic and political opportunities for women
243,243,(B) Executive Order 9066 interning Japanese Americans
244,244,(B) Jacksonian Democrat
245,245,(A)
246,246,(A)
247,247,(B) Unregulated currency and federal debts after the War of 1812
248,248,(C)
249,249,(C) Republican motherhood
250,250,(B)
251,251,(C) A supporter of liberalism in the 1960s
252,252,(D) the rise of voluntary organizations to promote religious and secular reforms.
253,253,"(A) the New Deal had not ended the Great Depression.

(Explanation: The New Deal policies had not fully recovered the US economy from the Great Depression by 1934, and many people were still suffering from poverty and unemployment. Thus, Senator Long's proposal to limit wealth and guarantee a minimum standard of living for all Americans was appealing to many people who were looking for solutions to the economic crisis.)"
254,254,(D) The Pure Food and Drug Act
255,255,(A)
256,256,(B) Debates over social justice
257,257,"(C) Fourteenth Amendment (1868) is the correct answer. This amendment granted citizenship to all persons born or naturalized in the United States, including former slaves, and guaranteed equal protection under the laws, overruling the Supreme Court’s infamous Dred Scott decision that had declared African Americans were not and could never become citizens of the United States."
258,258,(C) Mixed agriculture among the Iroquois
259,259,(A) The pioneers
260,260,(B) The Second Great Awakening.
261,261,(A) The First Great Awakening
262,262,(A) Dred Scott v. Sanford (1857)
263,263,(A) Debates about the proper balance between liberty and order.
264,264,(A)
265,265,(B) The response of New England Federalists to the War of 1812.
266,266,(B) The growth of corporate power and banking interests inspired rural activists to lobby for political reform.
267,267,(B) American confidence in a time of prosperity
268,268,(A) The rise of the United States to the status of a great power
269,269,(D)
270,270,"(C) Instrument of injustice.

Riis's work, How the Other Half Lives, exposed the harsh living conditions and social injustices faced by immigrants and the working class in American cities. This aligns with the Progressive Party's concern about ""an instrument of injustice"" in the quoted passage."
271,271,(B) Undermining Communism in Vietnam after the Tet Offensive
272,272,"(D) Franklin D. Roosevelt in the 1930s

The challenges that Jimmy Carter faced in 1980, including international terrorism, military aggression, and economic interdependence, can be best compared to those faced by Franklin D. Roosevelt in the 1930s. During this time, Roosevelt also faced a series of interconnected challenges, including the Great Depression, the rise of totalitarian regimes in Europe, and the threat of global conflict. Both Carter and Roosevelt had to navigate a complex and rapidly changing global landscape, and both had to confront serious threats to peace and stability."
273,273,"(C) The Nineteenth Amendment, which guaranteed all women the right to vote"
274,274,(B)
275,275,(A) Puritanism
276,276,(D) Lincoln's election on a Free-Soil platform led Southern politicians to conclude that secession was necessary.
277,277,(D) The creation of an American overseas empire
278,278,"(D) The director-general of the colony of New Netherlands, Peter Stuyvesant, was attempting to enforce conformity in New Netherlands despite the multi-ethnic makeup of the colony; the document was an attempt to accommodate the diverse population."
279,279,(C) Taking advantage of divisions among the Indians
280,280,(A) The separation of church and state
281,281,(C) The internment of Japanese-Americans
282,282,(D)
283,283,(B) Equal Rights Amendment.
284,284,(A) The New Deal
285,285,"(D) World War II

The political discord during the Vietnam War most closely resembled the political dissensions during World War II, as both conflicts were marked by significant opposition and debate within the United States. This included protests, resistance to the military draft, and anti-war movements, similar to the political climate during World War II when there was disagreement over U.S. involvement and the conduct of the war. The other options (A) The Spanish-American War, (B) The Mexican War, and (C) World War I did not have the same level of political discord and public dissent as the Vietnam War and World War II."
286,286,(A) Support for Manifest Destiny
287,287,(C) Cortes was chiefly motivated by a desire for wealth.
288,288,(A) Southern Baptist justification of slavery on the grounds of white racial superiority
289,289,(C) Quakers
290,290,"(D) is the answer. In Dred Scott v. Sandford, Chief Justice Taney did rule that Congress had no right to regulate slavery in United States territories."
291,291,"(C) Other Southern states seceded from the Union, forming the Confederacy."
292,292,"(D) H. Ross Perot, Reform Party, 1996"
293,293,(A)
294,294,"(D) Plessy v. Ferguson (1896).

(A) Dred Scott v. Sanford (1857) and (C) Worcester v. Georgia (1831) are not related to the system of segregation.

(B) Brown v.Board of Education of Topeka, Kansas (1954) was a decision that ended segregation, not contributed to it."
295,295,(C) Debates about the role of the United States in world affairs.
296,296,(B) President Lincoln was reluctant to be ideologically associated with advocates like Frederick Douglass.
297,297,(C) a populist newspaper in the 1890s.
298,298,(D) the end of the Cold War.
299,299,(B) Conservative Republicans mobilized to defend traditional mores and curb government authority.
300,300,(D) British impressments of American sailors and interference with American trade
301,301,(C) The muckrakers
302,302,(A) The formation of the non-aligned movement
303,303,(B)
304,304,(C)
305,305,(C) the Cold War.
306,306,(D) Korea remains divided into two nations near the 38th parallel.
307,307,(A) Revolutionary progressivism does not always concern itself with gender equality.
308,308,(C) Sub-Saharan Africans depended on European merchants as the sole purchasers of slaves.
309,309,(C) A widespread belief in Germany that it had been unfairly treated at the end of World War I
310,310,(B) He doesn’t earn enough on his own.
311,311,(D) Distant strangers
312,312,(A)
313,313,"(D) Agriculture was collectivized, with the result that entire communities shared fields instead of individuals owning the land as private property."
314,314,(A) Development of socialized programs throughout much of Europe
315,315,(B) Long-distance contact between Egypt and other lands
316,316,(A) Emphasis on trade networks
317,317,(A) Counterrevolutionary opponents
318,318,(D) Containment
319,319,(B) Nonviolent resistance
320,320,(C) The encomienda system
321,321,(D) The presence of highly developed port cities
322,322,(A) The influence of religion on interaction between cultures
323,323,(A) The aggressive expansion of the slave trade to provide labor for Caribbean sugar plantations
324,324,(D) apartheid.
325,325,(D) That the ideology of holy war was taken seriously by Muslim elites during the crusading era.
326,326,(B) The invasion of Anatolia by the Seljuk Turks
327,327,(A) Rules of royal succession
328,328,(B) International trade connections were still being developed in the period.
329,329,"Based on the information provided, the answer is (B): Killing of civilians during wartime."
330,330,(B) The differing views of Catholics and Reformers on the appropriate use and interpretation of biblical texts
331,331,(D) Place blame on both his home country as well as the Zulus
332,332,(D) Overhunting and depletion of furbearing animals.
333,333,(C) Women's power increasingly fell within the private sphere.
334,334,(D) Interpreting them as an act of submission
335,335,(C) Stalin's implementation of five-year plans for the Soviet economy
336,336,"(A) is not the answer. The passage does not mention anything about the British crown offering incentives for establishing homesteads in Zulu lands.

(B) is not the answer. The passage does not mention anything about the Zulu creating attractive trade ports along the Indian Ocean.

(C) is not the answer. The passage does not mention anything about the Berlin Conference clarifying boundaries and making it logistically sound for Europeans to move to the African colonies.

(D) is the answer. The passage mentions that the writer has a farm of 50 acres close to the town, and that there has been damage done by a contingent of 1,500 natives, which suggests that there was a diamond rush and an influx of European settlers to Zulu lands."
337,337,(D) Socialism
338,338,(D) British fears about a possible invasion attempt by Nazi Germany
339,339,(C)
340,340,(A) British sale of opium in China
341,341,(C) They logically decided to develop weapons better suited to their immediate military needs.
342,342,"(C) The country sent emissaries to study western democracies and industry. This answer is correct because during the era you are referring to, Japan responded to Lord Ii's concerns by opening up to the West and sending delegations to study Western technology, industry, and political systems. This ultimately led to Japan's rapid modernization and industrialization during the Meiji period."
343,343,"(A) was not a long-term consequence of the Mongol conquest of Russia.
(B) is a possible long-term consequence of the Mongol conquest of Russia.
(C) was not a long-term consequence of the Mongol conquest of Russia.
(D) is a possible long-term consequence of the Mongol conquest of Russia."
344,344,"Based on the provided information, which describes Persia's internal situation and interactions with various religious groups, it is not possible to directly determine Persia's relationship with Arabia in the period 600–1450 C.E. However, considering the time frame and the geographical locations of Persia and Arabia, it is likely that Persia and Arabia had some level of interaction during this period.

Based on the available information, we cannot definitively choose from the options (A), (B), (C), or (D). However, (B) could be a possible answer, as the text does not provide clear evidence of frequent interactions or control between Persia and Arabia."
345,345,(D) The Crusades
346,346,(A) Ulrich Zwingli
347,347,(B) The Ming Dynasty sought to regulate trade strictly to limit contact with foreigners and ease collection of taxes.
348,348,(A) It is hypocritical to sell one country a substance banned as harmful in one's own.
349,349,(D) Unforeseen consequences of British imperialism
350,350,(A)
351,351,(A) The rural peasantry
352,352,(B) Religious restrictions were not universally observed by all Muslims.
353,353,(A)
354,354,(A)
355,355,"(B) The Tang Dynasty's large, standing professional army with no need of conscription"
356,356,(D) The New World
357,357,(C) Han and Gupta
358,358,(A) Rulers derived legitimacy for their rule by their sponsorship of religion and chief priests.
359,359,(C) European participation in East Asian trade patterns
360,360,(B) Governments promoting collectivization of the land to reduce inequality between sectors of the population
361,361,(A) The ideals of communism as stated by Joseph Stalin
362,362,(A) Disgust for barbarian peoples
363,363,(B) The independence movements that freed the states of southeast Asia from colonial rule
364,364,(A) Railroad construction
365,365,"(A) is not correct, as the passage describes exploitation of Native Americans in the mines, not debt slavery. (B) is not correct, as the passage describes corruption among elites. (C) is not directly addressed in the passage, but it does describe negative impacts on Native Americans. (D) is not directly addressed in the passage. Therefore, the answer is none of the options."
366,366,"(A) Long-distance contact between civilizations stagnated. // Incorrect. The passage describes Ibn Battuta's travels and interactions with various communities in China, indicating active long-distance contact.

(B) New religious traditions overturned prior lasting religious beliefs. // Incorrect. The passage describes the coexistence of various religious communities in China, not the overturning of religious beliefs.

(C) The empires of steppe nomads united trade links across Eurasia. // Incorrect. The passage does not mention the role of steppe nomads in uniting trade links.

(D) Technological developments spread across trade routes. // Incorrect. The passage does not mention technological developments or their spread across trade routes.

Based on the provided information, none of the options is directly supported by the passage."
